Date,Film,Rating,Genres
2025/06/07/,Final Destination,★★★,Horror
2025/06/01/,Shang-Chi and the Legend of the Ten Rings,★★★½,"Adventure, Fantasy, Action"
2025/05/31/,Lilo & Stitch,★★★½,"Science Fiction, Comedy, Family"
2025/05/26/,This Is the End,★★★,"Comedy, Action"
2025/05/24/,Get Smart,★★½,"Action, Thriller, Comedy"
2025/05/23/,Dan in Real Life,★★★½,"Comedy, Drama, Romance"
2025/05/22/,The Man from Earth,★★★★½,"Drama, Science Fiction"
2025/05/21/,Hot Tub Time Machine,★★½,"Adventure, Comedy, Science Fiction"
2025/05/19/,Adventureland,★★★,"Romance, Comedy, Drama"
2025/05/19/,Knocked Up,★★★,"Drama, Romance, Comedy"
2025/05/18/,Role Models,★★★½,Comedy
2025/05/16/,The World's End,★★★★,"Action, Science Fiction, Comedy"
2025/05/16/,The Way Way Back,★★★★,"Drama, Comedy"
2025/05/15/,Central Intelligence,★★★½,"Comedy, Action"
2025/05/14/,American Pie 2,★★★,"Romance, Comedy"
2025/05/14/,American Pie,★★★½,"Comedy, Romance"
2025/05/13/,22 Jump Street,★★★½,"Action, Crime, Comedy"
2025/05/10/,21 Jump Street,★★★½,"Crime, Action, Comedy"
2025/05/09/,Avengers: Age of Ultron,★★★,"Science Fiction, Action, Adventure"
2025/05/05/,Good Luck Chuck,★★,"Comedy, Romance"
2025/05/04/,It's What's Inside,★★★½,"Science Fiction, Comedy, Mystery"
2025/05/03/,Thunderbolts*,★★★★,"Science Fiction, Adventure, Action"
2025/05/02/,The Royal Tenenbaums,★★★★,"Drama, Comedy"
2025/04/24/,School of Rock,★★★★,"Music, Comedy"
2025/04/23/,Ghost Town,★★★½,"Comedy, Drama, Fantasy"
2025/04/16/,The Amateur,★★★,"Thriller, Action"
2025/04/16/,Fantastic Four: Rise of the Silver Surfer,★★,"Action, Science Fiction, Adventure"
2025/04/14/,Black Widow,★★,"Action, Adventure, Science Fiction"
2025/04/12/,A Minecraft Movie,★★★★,"Adventure, Fantasy, Family, Comedy"
2025/04/09/,Fantastic Four,★★½,"Science Fiction, Action, Fantasy"
2025/04/06/,Forgetting Sarah Marshall,★★★★,"Drama, Comedy, Romance"
2025/03/24/,She's Out of My League,★★★,"Comedy, Romance"
2025/03/15/,Twilight,★★,"Drama, Fantasy, Romance"
2025/03/09/,Mickey 17,★★★★,"Comedy, Adventure, Science Fiction"
2025/03/08/,Turkish Ice Cream,★★½,"War, Drama, History"
2025/02/28/,Conclave,★★★,"Drama, Thriller"
2025/02/26/,Captain America: Brave New World,★★½,"Science Fiction, Thriller, Action"
2025/02/23/,Whisper If I Forget,★★★★,"Music, Drama"
2025/02/21/,Anora,★★★★½,"Drama, Romance, Comedy"
2025/02/17/,The Last Song,★★★,"Drama, Romance, Family"
2025/02/17/,Accepted,★★★,Comedy
2025/01/24/,Superbad,★★★,Comedy
2025/01/20/,Raiders of the Lost Ark,★★★★,"Adventure, Action"
2025/01/19/,Battle of the Sexes,★★★★,"History, Comedy, Drama"
2025/01/18/,Kingsman: The Golden Circle,★★½,"Crime, Science Fiction, Thriller, Action, Adventure, Comedy"
2025/01/16/,American Hustle,★★★½,"Crime, Drama"
2025/01/11/,Little Miss Sunshine,★★★★,"Drama, Comedy"
2025/01/08/,The Nice Guys,★★★½,"Action, Comedy, Crime"
2025/01/04/,The Wolf of Wall Street,★★★½,"Comedy, Drama, Crime"
2025/01/02/,The Terminal,★★★★,"Comedy, Drama"
2025/01/01/,Home Alone 2: Lost in New York,★★★,"Family, Comedy, Adventure"
2024/12/31/,Red One,★★★,"Action, Comedy, Fantasy"
2024/12/28/,High School Musical,★★,"Music, Comedy, Family, TV Movie, Romance, Drama"
2024/12/26/,The Order,★★★½,"Crime, Thriller, Drama"
2024/12/24/,Jumanji: The Next Level,★★★,"Comedy, Adventure, Fantasy"
2024/12/24/,That's My Boy,½,"Drama, Comedy"
2024/12/23/,Jumanji: Welcome to the Jungle,★★★★,"Action, Comedy, Family, Fantasy, Adventure"
2024/12/20/,Kingsman: The Secret Service,★★★½,"Action, Comedy, Crime, Adventure"
2024/12/17/,Now You See Me 2,★★★½,"Thriller, Crime"
2024/12/15/,Clueless,★★★,"Comedy, Romance"
2024/12/11/,Safety Not Guaranteed,★★½,"Science Fiction, Comedy, Romance"
2024/11/25/,Gladiator,★★★½,"Action, Adventure, Drama"
2024/11/23/,Wicked,★★★,"Romance, Drama, Fantasy"
2024/11/09/,Mean Girls,★★★½,"Comedy, Drama"
2024/11/05/,Venom: The Last Dance,★★½,"Action, Science Fiction, Adventure"
2024/10/30/,Legally Blonde,★★★½,"Romance, Comedy"
2024/10/29/,We Live in Time,★★½,"Drama, Romance"
2024/10/28/,Alvin and the Chipmunks,★½,"Fantasy, Family, Comedy"
2024/10/26/,"I Love You, Man",★★★,"Comedy, Romance"
2024/10/18/,Don't Worry Darling,★★★,"Horror, Mystery, Science Fiction, Thriller"
2024/10/06/,Joker: Folie à Deux,★½,"Thriller, Crime, Drama"
2024/09/14/,Beetlejuice Beetlejuice,★★★,"Comedy, Fantasy"
2024/09/11/,Beetlejuice,★★★½,"Fantasy, Comedy"
2024/08/28/,Just Like Heaven,★★★½,"Romance, Fantasy, Drama, Comedy"
2024/07/24/,Deadpool & Wolverine,★★★★,"Science Fiction, Action, Comedy"
2024/07/24/,X-Men: First Class,★★★½,"Science Fiction, Adventure, Action"
2024/07/23/,X-Men Origins: Wolverine,★★½,"Science Fiction, Adventure, Action"
